date;series;value
2013-07-05 06:38:26.902;eventData;60.538020061680506
2013-07-05 06:43:26.902;eventData;60.96371019435035
2013-07-05 06:48:26.902;eventData;62.25221768056858
2013-07-05 06:53:26.902;eventData;62.126920261323136
2013-07-05 06:58:26.902;eventData;56.28435253159288
2013-07-05 07:03:26.902;eventData;57.899959942434954
2013-07-05 07:08:26.902;eventData;62.03860826231806
2013-07-05 07:13:26.902;eventData;61.623053572594735
2013-07-05 07:18:26.902;eventData;57.06953961489744
2013-07-05 07:23:26.902;eventData;61.0235981701493
2013-07-05 07:28:26.902;eventData;63.20454198384939
2013-07-05 07:33:26.902;eventData;64.24081653318046
2013-07-05 07:38:26.902;eventData;65.9307157950608
2013-07-05 07:43:26.902;eventData;59.21395718666859
2013-07-05 07:48:26.902;eventData;58.04837972500604
2013-07-05 07:53:26.902;eventData;60.59826176490098
2013-07-05 07:58:26.902;eventData;59.962209877063785
2013-07-05 08:03:26.902;eventData;63.21343307571324
2013-07-05 08:08:26.902;eventData;60.61814383240175
2013-07-05 08:13:26.902;eventData;58.292299396007905
2013-07-05 08:18:26.902;eventData;60.33686122376072
