date;series;value
2013-10-05 20:22:14.341;eventData;64.61406018504152
2013-10-05 20:27:14.341;eventData;65.89113058305105
2013-10-05 20:32:14.341;eventData;69.75665304170573
2013-10-05 20:37:14.341;eventData;69.38076078396941
2013-10-05 20:42:14.341;eventData;51.85305759477865
2013-10-05 20:47:14.341;eventData;56.69987982730486
2013-10-05 20:52:14.341;eventData;69.11582478695418
2013-10-05 20:57:14.341;eventData;67.86916071778421
2013-10-05 21:02:14.341;eventData;54.20861884469232
2013-10-05 21:07:14.341;eventData;66.0707945104479
2013-10-05 21:12:14.341;eventData;72.61362595154817
2013-10-05 21:17:14.341;eventData;75.7224495995414
2013-10-05 21:22:14.341;eventData;80.79214738518243
2013-10-05 21:27:14.341;eventData;60.64187156000577
2013-10-05 21:32:14.341;eventData;57.14513917501813
2013-10-05 21:37:14.341;eventData;64.79478529470295
2013-10-05 21:42:14.341;eventData;62.88662963119135
2013-10-05 21:47:14.341;eventData;72.64029922713972
2013-10-05 21:52:14.341;eventData;64.85443149720524
2013-10-05 21:57:14.341;eventData;57.876898188023716
2013-10-05 22:02:14.341;eventData;64.01058367128216
2013-10-05 22:07:14.341;eventData;63.385750169460074
2013-10-05 22:12:14.341;eventData;62.513305247954314
2013-10-05 22:17:14.341;eventData;60.83377680685523
2013-10-05 22:22:14.341;eventData;64.07522168909202
2013-10-05 22:27:14.341;eventData;61.03275144280494
2013-10-05 22:32:14.341;eventData;64.4018144293694
2013-10-05 22:37:14.341;eventData;55.89718052092833
2013-10-05 22:42:14.341;eventData;54.05136389514785
2013-10-05 22:47:14.341;eventData;64.6647121834836
2013-10-05 22:52:14.341;eventData;67.30773117266749
2013-10-05 22:57:14.341;eventData;42.34209208085433
2013-10-05 23:02:14.341;eventData;63.812399236026984
