date;series;value
2015-10-11 17:45:58.432;eventData;28.084522567520345
2015-10-11 17:50:58.432;eventData;29.538637105790414
2015-10-11 17:55:58.432;eventData;20.90348267762018
2015-10-11 18:00:58.432;eventData;12.133940385486666
2015-10-11 18:05:58.432;eventData;33.04259039145746
2015-10-11 18:10:58.432;eventData;25.994234571756127
2015-10-11 18:15:58.432;eventData;4.068167124591099
2015-10-11 18:20:58.432;eventData;25.553131044682928
2015-10-11 18:25:58.432;eventData;23.298414830062654
2015-10-11 18:30:58.432;eventData;26.373067850280076
2015-10-11 18:35:58.432;eventData;17.208186822546903
2015-10-11 18:40:58.432;eventData;18.636766668177295
2015-10-11 18:45:58.432;eventData;13.677419441543135
2015-10-11 18:50:58.432;eventData;29.301014416896095
2015-10-11 18:55:58.432;eventData;23.513946582334423
2015-10-11 19:00:58.432;eventData;17.662022699967434
2015-10-11 19:05:58.432;eventData;20.773754524155947
2015-10-11 19:10:58.432;eventData;31.928093132259164
2015-10-11 19:15:58.432;eventData;21.20868551802733
2015-10-11 19:20:58.432;eventData;30.363548002264945
2015-10-11 19:25:58.432;eventData;23.01159577669906
2015-10-11 19:30:58.432;eventData;31.670808899832213
2015-10-11 19:35:58.432;eventData;26.555558466913073
2015-10-11 19:40:58.432;eventData;22.61546484456701
2015-10-11 19:45:58.432;eventData;23.72262036360024
2015-10-11 19:50:58.432;eventData;35.40440350586471
2015-10-11 19:55:58.432;eventData;22.664984672017418
2015-10-11 20:00:58.432;eventData;26.008646990427692
2015-10-11 20:05:58.432;eventData;19.243271350713222
2015-10-11 20:10:58.432;eventData;28.249819174178796
2015-10-11 20:15:58.432;eventData;34.412336866096524
2015-10-11 20:20:58.432;eventData;26.323304550631867
2015-10-11 20:25:58.432;eventData;28.72184516137696
