date;series;value
2012-06-14 22:19:02.107;eventData;28.945649398232284
2012-06-14 22:24:02.107;eventData;18.490718491349547
2012-06-14 22:29:02.107;eventData;32.400099977174996
2012-06-14 22:34:02.107;eventData;23.93058465858717
2012-06-14 22:39:02.107;eventData;29.711992296402045
2012-06-14 22:44:02.107;eventData;26.78071521146084
2012-06-14 22:49:02.107;eventData;24.87227504205775
2012-06-14 22:54:02.107;eventData;23.795118066325735
2012-06-14 22:59:02.107;eventData;36.300440610827444
2012-06-14 23:04:02.107;eventData;26.90002624946714
2012-06-14 23:09:02.107;eventData;24.767474527798342
2012-06-14 23:14:02.107;eventData;17.93556361611399
2012-06-14 23:19:02.107;eventData;30.424275391271316
2012-06-14 23:24:02.107;eventData;25.0377802629846
2012-06-14 23:29:02.107;eventData;19.582173426709744
2012-06-14 23:34:02.107;eventData;32.16931941657036
2012-06-14 23:39:02.107;eventData;25.02407512324444
2012-06-14 23:44:02.107;eventData;9.024001292109912
2012-06-14 23:49:02.107;eventData;23.865368194892184
2012-06-14 23:54:02.107;eventData;26.1766214549024
2012-06-14 23:59:02.107;eventData;19.326935970529455
2012-06-15 00:04:02.107;eventData;20.219624277776415
