date;series;value
2014-02-15 16:47:29.886;eventData;71.54824812778577
2014-02-15 16:52:29.886;eventData;58.32618740022731
2014-02-15 16:57:29.886;eventData;69.0039953056626
2014-02-15 17:02:29.886;eventData;61.74842363685297
2014-02-15 17:07:29.886;eventData;67.40222767224402
2014-02-15 17:12:29.886;eventData;65.60770455032656
2014-02-15 17:17:29.886;eventData;58.81703508345734
2014-02-15 17:22:29.886;eventData;60.31559607176845
2014-02-15 17:27:29.886;eventData;62.68435797903643
2014-02-15 17:32:29.886;eventData;62.28454058602245
2014-02-15 17:37:29.886;eventData;65.6270382688862
2014-02-15 17:42:29.886;eventData;53.48865367524596
2014-02-15 17:47:29.886;eventData;69.2568960649503
2014-02-15 17:52:29.886;eventData;55.75020427486046
2014-02-15 17:57:29.886;eventData;46.12421229478958
2014-02-15 18:02:29.886;eventData;66.70954403234956
2014-02-15 18:07:29.886;eventData;54.66248407313957
2014-02-15 18:12:29.886;eventData;75.63277679352342
2014-02-15 18:17:29.886;eventData;52.732828936248765
2014-02-15 18:22:29.886;eventData;64.42504338702005
2014-02-15 18:27:29.886;eventData;59.5950054054433
2014-02-15 18:32:29.886;eventData;58.09801207355026
2014-02-15 18:37:29.886;eventData;61.59000662438179
2014-02-15 18:42:29.886;eventData;59.618484274638554
2014-02-15 18:47:29.886;eventData;68.85644242061363
2014-02-15 18:52:29.886;eventData;64.34906516820388
2014-02-15 18:57:29.886;eventData;71.09817193543664
2014-02-15 19:02:29.886;eventData;57.69159238895698
2014-02-15 19:07:29.886;eventData;74.17265335575433
2014-02-15 19:12:29.886;eventData;59.312010458733695
2014-02-15 19:17:29.886;eventData;60.61175753033996
2014-02-15 19:22:29.886;eventData;53.28187864369104
2014-02-15 19:27:29.886;eventData;59.58349541363974
2014-02-15 19:32:29.886;eventData;55.72350644393079
2014-02-15 19:37:29.886;eventData;59.16122792550308
2014-02-15 19:42:29.886;eventData;58.73949031273297
2014-02-15 19:47:29.886;eventData;70.1740783430518
2014-02-15 19:52:29.886;eventData;55.51261131207363
2014-02-15 19:57:29.886;eventData;63.159409047274266
2014-02-15 20:02:29.886;eventData;66.79879720422606
2014-02-15 20:07:29.886;eventData;56.73157373226083
