date;series;value
2012-10-15 20:11:12.974;eventData;28.378259759292913
2012-10-15 20:16:12.974;eventData;24.19628739653982
2012-10-15 20:21:12.974;eventData;29.76003999087
2012-10-15 20:26:12.974;eventData;26.372233863434868
2012-10-15 20:31:12.974;eventData;28.684796918560817
2012-10-15 20:36:12.974;eventData;27.512286084584336
2012-10-15 20:41:12.974;eventData;26.7489100168231
2012-10-15 20:46:12.974;eventData;26.318047226530293
2012-10-15 20:51:12.974;eventData;31.320176244330977
2012-10-15 20:56:12.974;eventData;27.560010499786856
2012-10-15 21:01:12.974;eventData;26.70698981111934
2012-10-15 21:06:12.974;eventData;23.974225446445594
2012-10-15 21:11:12.974;eventData;28.969710156508526
2012-10-15 21:16:12.974;eventData;26.81511210519384
2012-10-15 21:21:12.974;eventData;24.6328693706839
2012-10-15 21:26:12.974;eventData;29.667727766628143
2012-10-15 21:31:12.974;eventData;26.809630049297777
2012-10-15 21:36:12.974;eventData;20.409600516843966
2012-10-15 21:41:12.974;eventData;26.346147277956874
2012-10-15 21:46:12.974;eventData;27.27064858196096
2012-10-15 21:51:12.974;eventData;24.530774388211782
2012-10-15 21:56:12.974;eventData;24.887849711110565
2012-10-15 22:01:12.974;eventData;25.044406400267803
2012-10-15 22:06:12.974;eventData;29.200131021161724
2012-10-15 22:11:12.974;eventData;22.611242524022362
2012-10-15 22:16:12.974;eventData;27.77037395276022
2012-10-15 22:21:12.974;eventData;27.65828171165012
2012-10-15 22:26:12.974;eventData;29.485902488435748
2012-10-15 22:31:12.974;eventData;24.732860678909816
2012-10-15 22:36:12.974;eventData;25.146629258660045
2012-10-15 22:41:12.974;eventData;26.458056921159628
2012-10-15 22:46:12.974;eventData;26.62291894633587
2012-10-15 22:51:12.974;eventData;25.78485762075667
2012-10-15 22:56:12.974;eventData;28.114425852214538
2012-10-15 23:01:12.974;eventData;22.015835445129156
2012-10-15 23:06:12.974;eventData;25.952796010001833
