date;series;value
2014-02-18 01:38:45.873;eventData;34.11783031641781
2014-02-18 01:43:45.873;eventData;32.45108321432132
2014-02-18 01:48:45.873;eventData;32.72519652452605
2014-02-18 01:53:45.873;eventData;29.018448014174076
2014-02-18 01:58:45.873;eventData;27.17488384302223
2014-02-18 02:03:45.873;eventData;33.42002770557829
2014-02-18 02:08:45.873;eventData;32.68527859484755
2014-02-18 02:13:45.873;eventData;28.53728347726545
2014-02-18 02:18:45.873;eventData;27.055154294444247
2014-02-18 02:23:45.873;eventData;26.87087603953114
2014-02-18 02:28:45.873;eventData;33.59659771831323
2014-02-18 02:33:45.873;eventData;27.80220321268587
2014-02-18 02:38:45.873;eventData;31.948830083901708
2014-02-18 02:43:45.873;eventData;31.88916794137038
2014-02-18 02:48:45.873;eventData;32.411766388135305
2014-02-18 02:53:45.873;eventData;29.594255063577112
2014-02-18 02:58:45.873;eventData;19.32073075733061
2014-02-18 03:03:45.873;eventData;21.877048715829453
2014-02-18 03:08:45.873;eventData;29.652910234311552
2014-02-18 03:13:45.873;eventData;38.395280677238304
2014-02-18 03:18:45.873;eventData;18.965559968642935
2014-02-18 03:23:45.873;eventData;40.313717832725295
2014-02-18 03:28:45.873;eventData;23.709749546972418
2014-02-18 03:33:45.873;eventData;28.482407279608548
2014-02-18 03:38:45.873;eventData;40.04019346361285
2014-02-18 03:43:45.873;eventData;29.89010451331523
2014-02-18 03:48:45.873;eventData;23.797155929734842
2014-02-18 03:53:45.873;eventData;30.76965525708498
2014-02-18 03:58:45.873;eventData;25.86228541692468
2014-02-18 04:03:45.873;eventData;23.19031143800195
2014-02-18 04:08:45.873;eventData;24.131066236855943
2014-02-18 04:13:45.873;eventData;26.186672662754212
2014-02-18 04:18:45.873;eventData;35.35863250585722
2014-02-18 04:23:45.873;eventData;32.383250798790506
2014-02-18 04:28:45.873;eventData;27.263384083474097
2014-02-18 04:33:45.873;eventData;38.12768515241737
2014-02-18 04:38:45.873;eventData;20.632382592727005
2014-02-18 04:43:45.873;eventData;27.39877022888914
2014-02-18 04:48:45.873;eventData;33.163071061264496
2014-02-18 04:53:45.873;eventData;15.918895690381145
2014-02-18 04:58:45.873;eventData;40.673708888393186
2014-02-18 05:03:45.873;eventData;31.223850183857827
2014-02-18 05:08:45.873;eventData;17.698906238126973
2014-02-18 05:13:45.873;eventData;36.884015188202
2014-02-18 05:18:45.873;eventData;24.329594911407515
2014-02-18 05:23:45.873;eventData;34.82802050204544
2014-02-18 05:28:45.873;eventData;32.399047860684874
