date;series;value
2011-06-20 20:58:08.937;eventData;67.95687343982148
2011-06-20 21:03:08.937;eventData;56.93848950018943
2011-06-20 21:08:08.937;eventData;65.83666275471883
2011-06-20 21:13:08.937;eventData;59.79035303071081
2011-06-20 21:18:08.937;eventData;64.50185639353668
2011-06-20 21:23:08.937;eventData;63.00642045860546
2011-06-20 21:28:08.937;eventData;57.347529236214456
2011-06-20 21:33:08.937;eventData;58.59633005980704
2011-06-20 21:38:08.937;eventData;60.57029831586369
2011-06-20 21:43:08.937;eventData;60.23711715501871
2011-06-20 21:48:08.937;eventData;63.022531890738506
2011-06-20 21:53:08.937;eventData;52.907211396038306
2011-06-20 21:58:08.937;eventData;66.04741338745858
2011-06-20 22:03:08.937;eventData;54.79183689571705
2011-06-20 22:08:08.937;eventData;46.770176912324644
2011-06-20 22:13:08.937;eventData;63.92462002695797
2011-06-20 22:18:08.937;eventData;53.885403394282974
2011-06-20 22:23:08.937;eventData;71.36064732793618
2011-06-20 22:28:08.937;eventData;52.27735744687397
2011-06-20 22:33:08.937;eventData;62.020869489183376
