date;series;value
2012-06-20 20:03:27.934;eventData;71.58651889641274
2012-06-20 20:08:27.934;eventData;60.508651249543306
2012-06-20 20:13:27.934;eventData;62.42562060869955
2012-06-20 20:18:27.934;eventData;70.94769819565936
2012-06-20 20:23:27.934;eventData;68.54406523008578
2012-06-20 20:28:27.934;eventData;72.67495755586609
2012-06-20 20:33:27.934;eventData;74.37860935912099
2012-06-20 20:38:27.934;eventData;68.65916612371996
2012-06-20 20:43:27.934;eventData;66.09911348491762
2012-06-20 20:48:27.934;eventData;72.75357420787165
2012-06-20 20:53:27.934;eventData;54.82523747819503
2012-06-20 20:58:27.934;eventData;63.621646316033896
2012-06-20 21:03:27.934;eventData;60.62793056592807
2012-06-20 21:08:27.934;eventData;62.593502277893805
2012-06-20 21:13:27.934;eventData;72.5032635624605
2012-06-20 21:18:27.934;eventData;58.506511425439314
2012-06-20 21:23:27.934;eventData;71.57826932007778
2012-06-20 21:28:27.934;eventData;60.297524892615485
2012-06-20 21:33:27.934;eventData;66.17135924126005
2012-06-20 21:38:27.934;eventData;62.23123384792925
2012-06-20 21:43:27.934;eventData;61.81616990639208
2012-06-20 21:48:27.934;eventData;65.31116693837635
2012-06-20 21:53:27.934;eventData;61.47406560836164
